function,filename,rank,start,end,size,offset
pwrite,/mnt/beegfs/btio.full.out,0,415957.946532,415986.8014,16777216,{'offset': 6342593088}
pwrite,/mnt/beegfs/btio.full.out,0,416004.63954,416033.7534,16777216,{'offset': 6359370304}
pwrite,/mnt/beegfs/btio.full.out,0,416051.690898,416080.484374,16777216,{'offset': 6376147520}
pwrite,/mnt/beegfs/btio.full.out,0,416098.850366,416127.810616,16777216,{'offset': 6392924736}
pwrite,/mnt/beegfs/btio.full.out,0,416145.975468,416174.901892,16777216,{'offset': 6409701952}
pwrite,/mnt/beegfs/btio.full.out,0,416192.496688,416221.325794,16777216,{'offset': 6426479168}
pwrite,/mnt/beegfs/btio.full.out,0,416239.413904,416268.410774,16777216,{'offset': 6443256384}
pwrite,/mnt/beegfs/btio.full.out,0,416271.001586,416275.23357,2288960,{'offset': 6460033600}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,415794.18547,416275.745754,42515280,{'offset': 39326634}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,415793.712767,416275.746205,42515280,{'offset': 39326634}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,1,415794.007475,416275.759867,42515280,{'offset': 39326634}
pwrite,/mnt/beegfs/btio.full.out,0,426647.401044,426677.15391,16777216,{'offset': 6462322560}
pwrite,/mnt/beegfs/btio.full.out,0,426696.006694,426725.977316,16777216,{'offset': 6479099776}
pwrite,/mnt/beegfs/btio.full.out,0,426744.690424,426774.054846,16777216,{'offset': 6495876992}
pwrite,/mnt/beegfs/btio.full.out,0,426792.361758,426821.92667,16777216,{'offset': 6512654208}
pwrite,/mnt/beegfs/btio.full.out,0,426840.22371,426869.660902,16777216,{'offset': 6529431424}
pwrite,/mnt/beegfs/btio.full.out,0,426888.149484,426918.140756,16777216,{'offset': 6546208640}
pwrite,/mnt/beegfs/btio.full.out,0,426936.659932,426966.496754,16777216,{'offset': 6562985856}
pwrite,/mnt/beegfs/btio.full.out,0,426985.293376,427014.557706,16777216,{'offset': 6579763072}
pwrite,/mnt/beegfs/btio.full.out,0,427033.389504,427062.465018,16777216,{'offset': 6596540288}
pwrite,/mnt/beegfs/btio.full.out,0,427080.676006,427110.02554,16777216,{'offset': 6613317504}
pwrite,/mnt/beegfs/btio.full.out,0,427112.491336,427116.972558,2288960,{'offset': 6630094720}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,1,426625.084681,427117.317855,42515280,{'offset': 40389516}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,3,426625.343072,427117.319484,42515280,{'offset': 40389516}
MPI_File_write_at_all,/mnt/beegfs/btio.full.out,2,426625.2896,427117.31978,42515280,{'offset': 40389516}
pwrite,/mnt/beegfs/btio.full.out,0,437553.764618,437584.048654,16777216,{'offset': 6632383680}
pwrite,/mnt/beegfs/btio.full.out,0,437602.658202,437632.275792,16777216,{'offset': 6649160896}
pwrite,/mnt/beegfs/btio.full.out,0,437650.7172,437680.075588,16777216,{'offset': 6665938112}
pwrite,/mnt/beegfs/btio.full.out,0,437698.363272,437727.621124,16777216,{'offset': 6682715328}
pwrite,/mnt/beegfs/btio.full.out,0,437745.705028,437775.20508,16777216,{'offset': 6699492544}
